Sample.ID,Site,Transect,Diameter.1,Diameter.2,Diameter.3,Diameter.mean,Note
2733,S11,T4,0.918,0.943,0.73,0.863666667,
2734,S11,T4,150,150,150,150,
2691,S11,T5,150,150,150,150,
2692,S11,T5,1.793,2.206,1.842,1.947,
2693,S11,T5,0.254,0.244,0.225,0.241,
2694,S11,T5,4.681,4.313,3.092,4.028666667,
2695,S11,T5,22.512,24.802,14.033,20.449,
2696,S11,T5,0.782,0.801,0.609,0.730666667,
2735,S11,T5,1.733,1.672,1.534,1.646333333,
2737,S11,T5,0.923,0.854,1.2,0.992333333,
2791,S11,T5,1.413,1.497,1.084,1.331333333,
2792,S11,T5,24.671,22.127,16.437,21.07833333,
2793,S11,T5,1.216,1.333,1.114,1.221,
2794,S11,T5,4.391,3.368,2.897,3.552,
2795,S11,T5,1.929,1.928,1.603,1.82,
2796,S11,T5,6.64,6.267,4.982,5.963,
2797,S11,T5,150,150,150,150,
2798,S11,T5,1.239,1.232,0.785,1.085333333,
2799,S11,T5,1.817,1.598,1.498,1.637666667,
2800,S11,T5,12.933,11.065,10.328,11.442,
2801,S11,T5,25.18,23.084,17.796,22.02,
2802,S11,T5,17.856,17.707,18.287,17.95,
2803,S11,T5,25.706,28.602,19.991,24.76633333,
2804,S11,T5,16.741,17.196,15.844,16.59366667,
2805,S11,T5,2.901,2.752,1.332,2.328333333,
2806,S11,T5,1.735,1.387,1.239,1.453666667,
2807,S11,T5,12.197,11.253,9.545,10.99833333,
2808,S11,T5,2.362,1.626,1.782,1.923333333,
2809,S11,T5,150,150,150,150,
2810,S11,T5,3.16,2.888,1.912,2.653333333,
2811,S11,T5,0.958,0.935,0.755,0.882666667,
2812,S11,T5,1.568,1.343,1.163,1.358,
2813,S11,T5,12.189,11.918,8.995,11.034,
2814,S11,T5,6.465,5.63,5.082,5.725666667,
2815,S11,T5,18.231,16.459,11.926,15.53866667,
2816,S11,T5,11.646,12.651,7.97,10.75566667,
2817,S11,T5,1.502,2.067,0.951,1.506666667,
2818,S11,T5,1.605,1.469,1.739,1.604333333,
2819,S11,T5,1.47,1.396,1.256,1.374,
2820,S11,T5,0.639,0.653,0.479,0.590333333,
2821,S11,T5,0.677,0.578,0.731,0.662,
2736,S11,T6,26.025,23.306,23.917,24.416,
2738,S11,T6,12.43,8.26,9.607,10.099,
2739,S11,T6,150,150,150,150,
2740,S11,T6,18.897,16.586,12.526,16.003,
2741,S11,T6,150,150,150,150,
2742,S11,T6,28.958,26.874,29.208,28.34666667,
2743,S11,T6,24.967,21.889,15.255,20.70366667,
2744,S11,T6,150,150,150,150,
2745,S11,T6,24.877,23.794,19.049,22.57333333,
2746,S11,T6,13.229,14.001,8.788,12.006,
2747,S11,T6,21.09,17.977,16.024,18.36366667,
2748,S11,T6,8.685,8.896,6.114,7.898333333,
2749,S11,T6,7.817,8.626,7.296,7.913,
2750,S11,T6,9.431,7.689,2.759,6.626333333,
2751,S11,T6,4.955,3.942,4.817,4.571333333,
2752,S11,T6,11.025,10.261,9.557,10.281,
2753,S11,T6,5.922,6.138,5.671,5.910333333,
