site,time_utc,time_local,temperature_c
B23,2023-07-31 09:29:59,2023-07-30 23:29:59,26.711
B23,2023-07-31 09:31:59,2023-07-30 23:31:59,26.7039
B23,2023-07-31 09:33:59,2023-07-30 23:33:59,26.6842
B23,2023-07-31 09:35:59,2023-07-30 23:35:59,26.6846
B23,2023-07-31 09:37:59,2023-07-30 23:37:59,26.6814
B23,2023-07-31 09:39:59,2023-07-30 23:39:59,26.676
B23,2023-07-31 09:41:59,2023-07-30 23:41:59,26.6872
B23,2023-07-31 09:43:59,2023-07-30 23:43:59,26.6869
B23,2023-07-31 09:45:59,2023-07-30 23:45:59,26.6891
B23,2023-07-31 09:47:59,2023-07-30 23:47:59,26.6819
B23,2023-07-31 09:49:59,2023-07-30 23:49:59,26.6682
B23,2023-07-31 09:51:59,2023-07-30 23:51:59,26.6638
B23,2023-07-31 09:53:59,2023-07-30 23:53:59,26.6695
B23,2023-07-31 09:55:59,2023-07-30 23:55:59,26.6644
B23,2023-07-31 09:57:59,2023-07-30 23:57:59,26.6461
B23,2023-07-31 09:59:59,2023-07-30 23:59:59,26.6509
B23,2023-07-31 10:01:59,2023-07-31 00:01:59,26.6613
B23,2023-07-31 10:03:59,2023-07-31 00:03:59,26.6727
B23,2023-07-31 10:05:59,2023-07-31 00:05:59,26.6798
B23,2023-07-31 10:07:59,2023-07-31 00:07:59,26.6913
B23,2023-07-31 10:09:59,2023-07-31 00:09:59,26.6848
B23,2023-07-31 10:11:59,2023-07-31 00:11:59,26.6861
B23,2023-07-31 10:13:59,2023-07-31 00:13:59,26.6832
B23,2023-07-31 10:15:59,2023-07-31 00:15:59,26.6643
B23,2023-07-31 10:17:59,2023-07-31 00:17:59,26.6458
B23,2023-07-31 10:19:59,2023-07-31 00:19:59,26.6498
B23,2023-07-31 10:21:59,2023-07-31 00:21:59,26.6749
B23,2023-07-31 10:23:59,2023-07-31 00:23:59,26.6887
B23,2023-07-31 10:25:59,2023-07-31 00:25:59,26.6922
B23,2023-07-31 10:27:59,2023-07-31 00:27:59,26.6963
