Date_french_format,Number,Stage,Timing,Site,Transect,ID,Replicate,Data,Backup,Quantity_DNA._RNA._shield_Data.ml.,Quantity_DNA._RNA._shield_backup.ml.,Box_name_Data,Box_name_backup,Freezer_US_tubes,Freezer_backup_moorea,Wirlpak,Picture,Picture_name,Recruit_size_cm2,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Scleractinian.corals,Macroalgae,Crustose.coralline.algae,Algal.turf,Millepora,Sand,dalle_coralienne,Others,Note1,gDNA.Extraction.Date,gDNA.Extraction.Plate,Plate.Well,Priority,Haplotype ,Note2,Extraction.Notebook.Link
21/02/2023,1275,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1275_S1_T3,11.559,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,B12,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1276,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1276_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,F10,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1277,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1277_S1_T3,5.782,NA,,NA,NA,NA,NA,0,0,1,0,0,0,0,0,,,Plate002,D6,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1278,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1278_S1_T3,2.988,NA,,NA,NA,NA,NA,0,0,0,1,0,0,0,0,,,Plate002,B7,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1279,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1279_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,E8,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1280,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1280_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,D1,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1282,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1282_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,G10,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1286,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1286_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,G1,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1306,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1306_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,E7,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1307,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1307_S1_T3,2.612,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,F4,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1309,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,1,0.5,Site_1,Site_1_backup,_20__C,_40_up,NO,YES,1309_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,E4,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1310,Recruit,Pre_bleach,S1,T3,POC_ID,1,1,0,0.5,NA,Site_1,NA,_20__C,NA,NO,YES,1310_S1_T3,0.209,NA,,NA,NA,NA,NA,0,1,1,0,0,0,0,0,,,Plate002,F1,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1311,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1311_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,E3,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1312,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1312_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,B6,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
