Collection.Date,Sample.ID,Stage,Site,Transect
20/12/2023,2737,Recruit,S11,T5
20/12/2023,2791,Recruit,S11,T5
20/12/2023,2792,Adult,S11,T5
20/12/2023,2793,Recruit,S11,T5
20/12/2023,2794,Recruit,S11,T5
20/12/2023,2795,Recruit,S11,T5
20/12/2023,2796,Recruit,S11,T5
20/12/2023,2797,Adult,S11,T5
20/12/2023,2798,Recruit,S11,T5
20/12/2023,2799,Recruit,S11,T5
20/12/2023,2800,Adult,S11,T5
20/12/2023,2801,Adult,S11,T5
20/12/2023,2802,Adult,S11,T5
20/12/2023,2803,Adult,S11,T5
20/12/2023,2804,Adult,S11,T5
20/12/2023,2805,Recruit,S11,T5
20/12/2023,2806,Recruit,S11,T5
20/12/2023,2807,Adult,S11,T5
20/12/2023,2808,Recruit,S11,T5
20/12/2023,2809,Adult,S11,T5
20/12/2023,2810,Recruit,S11,T5
20/12/2023,2811,Recruit,S11,T5
20/12/2023,2812,Recruit,S11,T5
20/12/2023,2813,Adult,S11,T5
20/12/2023,2814,Recruit,S11,T5
20/12/2023,2815,Adult,S11,T5
20/12/2023,2816,Adult,S11,T5
20/12/2023,2817,Recruit,S11,T5
20/12/2023,2818,Recruit,S11,T5
20/12/2023,2819,Recruit,S11,T5
20/12/2023,2820,Recruit,S11,T5
20/12/2023,2821,Recruit,S11,T5
21/12/2023,2736,Adult,S11,T6
21/12/2023,2738,Adult,S11,T6
21/12/2023,2739,Adult,S11,T6
21/12/2023,2740,Adult,S11,T6
21/12/2023,2741,Adult,S11,T6
21/12/2023,2742,Adult,S11,T6
21/12/2023,2743,Adult,S11,T6
21/12/2023,2744,Adult,S11,T6
21/12/2023,2745,Adult,S11,T6
21/12/2023,2746,Adult,S11,T6
21/12/2023,2747,Adult,S11,T6
21/12/2023,2748,Adult,S11,T6
21/12/2023,2749,Adult,S11,T6
21/12/2023,2750,Adult,S11,T6
21/12/2023,2751,Recruit,S11,T6
21/12/2023,2752,Adult,S11,T6
21/12/2023,2753,Adult,S11,T6
21/12/2023,2754,Recruit,S11,T6
21/12/2023,2755,Recruit,S11,T6
21/12/2023,2756,Recruit,S11,T6
21/12/2023,2757,Adult,S11,T6
21/12/2023,2758,Recruit,S11,T6
21/12/2023,2759,Recruit,S11,T6
21/12/2023,2760,Recruit,S11,T6
21/12/2023,2761,Adult,S11,T6
21/12/2023,2762,Recruit,S11,T6
21/12/2023,2763,Adult,S11,T6
21/12/2023,2764,Recruit,S11,T6
21/12/2023,2765,Adult,S11,T6
21/12/2023,2766,Adult,S11,T6
21/12/2023,2767,Adult,S11,T6
21/12/2023,2768,Adult,S11,T6
21/12/2023,2769,Adult,S11,T6
21/12/2023,2770,Adult,S11,T6
21/12/2023,2771,Adult,S11,T6
21/12/2023,2772,Adult,S11,T6
21/12/2023,2773,Adult,S11,T6
21/12/2023,2774,Adult,S11,T6
21/12/2023,2775,Adult,S11,T6
21/12/2023,2776,Adult,S11,T6
21/12/2023,2777,Recruit,S11,T6
21/12/2023,2778,Recruit,S11,T6
21/12/2023,2779,Recruit,S11,T6
21/12/2023,2780,Recruit,S11,T6
21/12/2023,2781,Adult,S11,T6
21/12/2023,2782,Recruit,S11,T6
21/12/2023,2783,Adult,S11,T6
21/12/2023,2784,Adult,S11,T6
21/12/2023,2785,Adult,S11,T6
21/12/2023,2786,Adult,S11,T6
21/12/2023,2787,Recruit,S11,T6
21/12/2023,2788,Adult,S11,T6
21/12/2023,2789,Adult,S11,T6
21/12/2023,2790,Adult,S11,T6
3/3/24,3332,,S12,T1
3/3/24,3334,,S12,T1
3/3/24,3335,,S12,T1
3/3/24,3351,,S12,T1
3/3/24,3352,,S12,T1
3/3/24,3353,,S12,T1
3/3/24,3354,,S12,T1
