site,date_local,min_temp_c,max_temp_c,median_temp_c,mean_temp_c
N04,2021-08-23,26.5073,27.43,26.5949,26.78876014
N05,2021-08-23,26.4295,27.6139,26.55825,26.79560986
B01,2021-08-24,26.6062,27.1295,26.6962,26.76564417
B02,2021-08-24,26.6412,27.1132,26.6998,26.78170153
B03,2021-08-24,26.6878,27.089,26.74305,26.79480361
B04,2021-08-24,26.6272,27.1208,26.6986,26.75994639
B05,2021-08-24,26.6537,27.0526,26.73325,26.79709167
B06,2021-08-24,26.6226,27.0593,26.7228,26.75541403
B07,2021-08-24,26.6025,27.0965,26.73285,26.77470264
B08,2021-08-24,26.572,27.2482,26.68355,26.75727069
B09,2021-08-24,26.4249,27.0624,26.7068,26.72415069
B10,2021-08-24,26.585,27.1845,26.6601,26.72562667
B10.5,2021-08-24,26.6124,27.067,26.6821,26.73517958
B11,2021-08-24,26.6449,26.9698,26.7031,26.74284028
B12,2021-08-24,26.6044,27.1307,26.6869,26.73175167
B13,2021-08-24,26.5399,27.0934,26.62815,26.70108514
B14,2021-08-24,26.539,27.1635,26.6649,26.72452375
B15,2021-08-24,26.6531,27.0126,26.701,26.73884569
B16,2021-08-24,26.6618,27.0237,26.71695,26.75542722
B17,2021-08-24,26.6207,27.0158,26.7131,26.75268028
B18,2021-08-24,26.6204,26.9837,26.71085,26.74819917
B19,2021-08-24,26.5918,27.1056,26.6975,26.75943056
B20,2021-08-24,26.4367,27.1346,26.65785,26.70189486
B21,2021-08-24,26.4474,27.0943,26.6142,26.67829792
B22,2021-08-24,26.4117,27.1135,26.6012,26.67035153
N01,2021-08-24,26.6059,27.1431,26.67435,26.75050167
N02,2021-08-24,26.6119,27.0955,26.68765,26.74738167
N03,2021-08-24,26.6209,27.0634,26.7178,26.76583472
N04,2021-08-24,26.5316,27.1961,26.63055,26.72654986
N05,2021-08-24,26.4619,27.298,26.59445,26.71645597
B01,2021-08-25,26.5081,27.1488,26.68925,26.76943833
B02,2021-08-25,26.5223,27.2029,26.72135,26.78938639
B03,2021-08-25,26.613,27.132,26.7823,26.81215653
B04,2021-08-25,26.4796,27.1669,26.6855,26.76220278
B05,2021-08-25,26.567,27.1931,26.8219,26.82020236
B06,2021-08-25,26.4879,27.1349,26.75245,26.78086528
B07,2021-08-25,26.4224,27.1972,26.83605,26.81225667
B08,2021-08-25,26.4419,27.294,26.70275,26.78942264
B09,2021-08-25,26.2627,27.1031,26.7878,26.74070583
B10,2021-08-25,26.5007,27.0793,26.62065,26.72004139
B10.5,2021-08-25,26.5491,27.0799,26.66195,26.74030764
B11,2021-08-25,26.5746,26.9984,26.67765,26.73287153
B12,2021-08-25,26.4975,27.1076,26.64845,26.73337222
B13,2021-08-25,26.4437,27.1327,26.62325,26.71295639
B14,2021-08-25,26.558,27.0257,26.64525,26.7152325
B15,2021-08-25,26.5535,26.9461,26.65635,26.70414861
B16,2021-08-25,26.5232,26.9777,26.65985,26.71259403
B17,2021-08-25,26.5792,27.0278,26.6575,26.71394764
B18,2021-08-25,26.5572,26.8925,26.66775,26.70590875
B19,2021-08-25,26.5123,27.0348,26.65025,26.71775625
B20,2021-08-25,26.4194,27.0169,26.6306,26.67678514
B21,2021-08-25,26.478,26.9561,26.6262,26.68273917
B22,2021-08-25,26.437,27.0065,26.5971,26.6827775
N01,2021-08-25,26.4301,27.2455,26.6841,26.76170208
N02,2021-08-25,26.5162,27.1601,26.6893,26.75958792
N03,2021-08-25,26.5106,27.146,26.7199,26.76882722
N04,2021-08-25,26.3347,27.3373,26.60585,26.74500333
N05,2021-08-25,26.2429,27.5824,26.54175,26.74492778
B01,2021-08-26,26.5384,27.3102,26.6802,26.77313486
B02,2021-08-26,26.5539,27.4847,26.71395,26.81917014
B03,2021-08-26,26.6159,27.3781,26.7664,26.83518486
B04,2021-08-26,26.4799,27.3855,26.6613,26.76455736
B05,2021-08-26,26.6414,27.341,26.77175,26.84033028
B06,2021-08-26,26.6193,27.2101,26.7352,26.79426833
B07,2021-08-26,26.6183,27.2816,26.73225,26.80923361
B08,2021-08-26,26.5997,27.4039,26.68645,26.80427722
B09,2021-08-26,26.5284,27.2252,26.71415,26.78977847
B10,2021-08-26,26.5125,27.1088,26.61085,26.68262236
B10.5,2021-08-26,26.5593,27.0772,26.62895,26.693825
B11,2021-08-26,26.5766,26.975,26.63115,26.67222486
B12,2021-08-26,26.5182,27.1293,26.63415,26.68751889
B13,2021-08-26,26.4651,27.1166,26.58145,26.66534236
B14,2021-08-26,26.4863,27.0489,26.6088,26.66756389
B15,2021-08-26,26.5651,26.9631,26.6287,26.6726025
B16,2021-08-26,26.5608,26.8933,26.61795,26.66968222
B17,2021-08-26,26.5942,27.0358,26.6376,26.695945
B18,2021-08-26,26.5626,26.8699,26.63295,26.67731361
B19,2021-08-26,26.5211,27.0299,26.61605,26.69815597
B20,2021-08-26,26.3694,27.0189,26.5927,26.64332125
B21,2021-08-26,26.372,26.9838,26.60525,26.64252222
B22,2021-08-26,26.3982,27.1017,26.582,26.66146042
B24,2021-08-26,26.5286,26.9879,26.6706,26.70985623
B25,2021-08-26,26.555,27.1064,26.71985,26.75651528
B26,2021-08-26,26.5988,27.0986,26.7566,26.78902514
B27,2021-08-26,26.5458,26.9962,26.7013,26.71861304
B28,2021-08-26,26.5079,27.1284,26.6223,26.69417628
B29,2021-08-26,26.4889,26.9135,26.6962,26.69496242
B30,2021-08-26,26.5865,26.9135,26.6714,26.71254952
B31,2021-08-26,26.533,26.965,26.66985,26.6862606
B32,2021-08-26,26.5485,26.991,26.6678,26.70969386
B33,2021-08-26,26.1287,27.1459,26.35385,26.49343536
B35,2021-08-26,25.9481,27.2523,26.2115,26.40760598
N01,2021-08-26,26.4444,27.4218,26.61465,26.74288486
N02,2021-08-26,26.4629,27.3819,26.64085,26.74917014
N03,2021-08-26,26.511,27.3277,26.675,26.74893153
N04,2021-08-26,26.3624,27.4921,26.59055,26.71644736
N05,2021-08-26,26.2608,27.5675,26.5392,26.69940528
W01,2021-08-26,26.6461,27.0034,26.7655,26.78870296
W02,2021-08-26,26.6379,27.0138,26.7607,26.78675984
W04,2021-08-26,26.5637,27.1444,26.7506,26.79211791
W05,2021-08-26,26.4676,27.1593,26.7654,26.77038462
B01,2021-08-27,26.5166,26.8525,26.6523,26.68126458
B02,2021-08-27,26.5645,26.8932,26.63195,26.69278347
B03,2021-08-27,26.6224,26.9081,26.6795,26.72176514
B04,2021-08-27,26.5362,26.9315,26.62915,26.67251708
B05,2021-08-27,26.5987,26.9977,26.6708,26.72098569
B06,2021-08-27,26.6025,26.9805,26.6714,26.70811736
B07,2021-08-27,26.572,27.0889,26.68365,26.72155625
B08,2021-08-27,26.5345,27.1787,26.6208,26.69650653
B09,2021-08-27,26.5043,26.8562,26.6447,26.66546708
B10,2021-08-27,26.5633,27.0545,26.6123,26.68137667
B10.5,2021-08-27,26.5865,27.1125,26.6363,26.69698319
B11,2021-08-27,26.5749,27.0017,26.64075,26.67730569
B12,2021-08-27,26.527,27.1518,26.5964,26.66967181
B13,2021-08-27,26.4846,27.0267,26.5827,26.64601875
B14,2021-08-27,26.5428,26.9681,26.60885,26.65696792
B15,2021-08-27,26.5575,26.8359,26.6059,26.64020597
B16,2021-08-27,26.5577,26.8213,26.6109,26.64458333
B17,2021-08-27,26.5293,26.9287,26.60685,26.62693542
B18,2021-08-27,26.5196,26.8383,26.60075,26.62177181
B19,2021-08-27,26.47,26.8457,26.57685,26.61285306
B20,2021-08-27,26.3517,26.8265,26.52495,26.55886722
B21,2021-08-27,26.3936,26.8264,26.54695,26.57484764
B22,2021-08-27,26.3581,26.7771,26.5177,26.54475222
B24,2021-08-27,26.4936,26.6833,26.5884,26.58963194
B25,2021-08-27,26.5122,26.8007,26.6293,26.63902681
B26,2021-08-27,26.5246,26.7803,26.6411,26.64417653
B27,2021-08-27,26.541,26.8085,26.6673,26.66608236
B28,2021-08-27,26.5107,26.8266,26.59975,26.63544139
B29,2021-08-27,26.4232,26.8516,26.5774,26.6161375
B30,2021-08-27,26.5367,26.8207,26.617,26.64514889
B31,2021-08-27,26.516,26.8331,26.6104,26.63710472
B32,2021-08-27,26.484,26.8377,26.58465,26.61783389
B33,2021-08-27,26.2262,26.9802,26.41435,26.50698514
B35,2021-08-27,26.1498,26.9389,26.34585,26.47257083
N01,2021-08-27,26.5048,26.908,26.60625,26.66259847
N02,2021-08-27,26.5212,26.9034,26.63105,26.66989361
N03,2021-08-27,26.5425,26.8836,26.65515,26.6778575
N04,2021-08-27,26.4438,26.9172,26.55115,26.62539625
N05,2021-08-27,26.3044,26.9576,26.5323,26.60088917
W01,2021-08-27,26.5881,26.764,26.6712,26.67002806
W02,2021-08-27,26.5736,26.7512,26.6616,26.66139625
W04,2021-08-27,26.4748,26.7911,26.62085,26.62890472
W05,2021-08-27,26.3898,26.7678,26.59685,26.59839542
B01,2021-08-28,26.5317,27.0709,26.68545,26.75643167
B02,2021-08-28,26.5548,27.0819,26.68565,26.75496611
B03,2021-08-28,26.5305,26.986,26.6834,26.72347958
B04,2021-08-28,26.5021,27.0749,26.6885,26.72511917
