"","Date_french_format","Number.x","Stage","Site","Transect","ID","Replicate","Data","Backup","Quantity_DNA._RNA._shield_Data.ml.","Quantity_DNA._RNA._shield_backup.ml.","Box_name_Data","Box_name_backup","Freezer_US_tubes","Freezer_backup_moorea","Wirlpak","Picture","Picture_name","Recruit_size_cm2","Red_standard","Green_standard","Blue_standard","Red_coral","Green_coral","Blue_coral","Scleractinian.corals","Macroalgae","Crustose.coralline.algae","Algal.turf","Millepora","Sand","dalle_coralienne","Others","Note1","gDNA.Extraction.Date","gDNA.Extraction.Plate.x","Plate.Well","Priority","Haplotype","Note2","Extraction.Notebook.Link","IDS","Number.y","gDNA.Extraction.Plate.y","Well","X","X.1","X.2","X.3","X.4","X.5"
"42","21/02/2023","1279","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1279_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","E8",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1279_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","21/02/2023","1280","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1280_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","D1",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1280_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","21/02/2023","1282","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1282_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","G10",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1282_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","21/02/2023","1286","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1286_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","G1",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1286_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","21/02/2023","1306","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1306_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","E7",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1306_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","21/02/2023","1307","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1307_S1_T3",2.612,NA,"",NA,NA,NA,NA,1,0,0,0,0,0,0,0,"",NA,"Plate002","F4",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1307_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","21/02/2023","1309","Adult","S1","T3","POC_ID",2,1,1,1,0.5,"Site_1","Site_1_backup","_20__C","_40_up","NO","YES","1309_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","E4",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1309_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","21/02/2023","1310","Recruit","S1","T3","POC_ID",1,1,0,0.5,NA,"Site_1",NA,"_20__C",NA,"NO","YES","1310_S1_T3",0.209,NA,"",NA,NA,NA,NA,0,1,1,0,0,0,0,0,"",NA,"Plate002","F1",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1310_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","21/02/2023","1311","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1311_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","E3",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1311_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","21/02/2023","1312","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1312_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","B6",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1312_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","21/02/2023","1313","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1313_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","G11",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1313_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","21/02/2023","1314",NA,"S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1314_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","A7",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1314_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","21/02/2023","1315","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1315_S1_T3",6.632,NA,"",NA,NA,NA,NA,0,0,0,1,0,0,0,0,"",NA,"Plate002","F5",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1315_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
